candidate_rank,GENE,CHR,START,STOP,NSNPS,NPARAM,N,magma_z,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,magma_p,magma_fdr,magma_bonf,magma_rank,gwas_min_p,gwas_n_snps,gwas_rank,n_top_pathways,mean_pathway_mlog10p,pathways,pathway_names,best_pathway_id,best_pathway_name,best_pathway_p,pathway_rank,hit_gwas,hit_magma,hit_pathway,support_layers,gwas_rank_score,magma_rank_score,pathway_rank_score,multi_pathway_bonus,score
1240,SORBI_3007G149800,7,58108731,58161532,801,58,329,3.2831,5.1333e-4,0.031679,9.0803e-5,5.1333e-4,0.0146515097979798,1,1188,1.734034e-7,801,1145,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.47149668780936,1.4554857338401,0,0,2.92698242164946
1241,SORBI_3003G265200,3,60177751,60233436,1060,48,329,3.0514,0.0011389,0.26284,7.2155e-5,0.0011389,0.0239267789343247,1,1614,6.833122e-8,1060,844,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.60395972785962,1.32239864409922,0,0,2.92635837195884
1242,SORBI_3004G257000,4,60260044,60313844,794,59,330,3.2237,6.3265e-4,0.25007,2.4004e-5,6.3265e-4,0.0166015662702703,1,1292,1.236937e-7,794,1056,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.50663825628748,1.41903966082621,0,0,2.92567791711368
1243,SORBI_3006G182200,6,53676995,53731136,815,37,330,3.0132,0.0012924,0.70355,2.181e-5,0.0012924,0.0258283905771496,1,1696,6.105574e-8,815,811,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.62128132027412,1.30087632656458,0,0,2.92215764683869
1244,SORBI_3006G213800,6,56202045,56255246,632,43,330,3.3775,3.6573e-4,0.049961,4.5609e-5,3.6573e-4,0.0119242046538462,1,1040,2.902834e-7,632,1327,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.40743125162084,1.51326883518649,0,0,2.92070008680733
1245,SORBI_3006G213500,6,56174419,56229572,587,41,330,3.3759,3.6786e-4,0.014862,1.41e-4,3.6786e-4,0.0119591532885906,1,1043,2.902834e-7,587,1324,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.40841418938159,1.51201786605874,0,0,2.92043205544033
1246,SORBI_3004G311000,4,64724515,64777467,646,68,327,3.2571,5.6288e-4,0.11854,4.5028e-5,5.6288e-4,0.0154919927272727,1,1232,1.616007e-7,646,1124,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.47953586325223,1.43969146665686,0,0,2.91922732990909
1247,SORBI_3003G078700,3,6733539,6788539,1122,54,329,1.9146,0.027774,0.19407,0.0087669,0.027774,0.138270561151079,1,6811,3.192602e-5,1122,6264,3,5.67164828416423,TRIGLSYN-PWY; PWYIO2-7; PWY-7039,"diacylglycerol and triacylglycerol biosynthesis; triacylglycerol biosynthesis (Chlamydomonas); phosphatidate metabolism, as a signaling molecule",TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis,1.6502434308877e-8,1,FALSE,FALSE,TRUE,1,0.733450425435384,0.697091294202663,2.61172330800734,0.602059991327962,2.91702137104011
1248,SORBI_3008G131400,8,55699538,55752053,1484,67,330,3.1986,6.9049e-4,0.32929,4.2458e-5,6.9049e-4,0.0174555453055142,1,1341,1.154042e-7,1484,1038,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.51410482097283,1.40287339663367,0,0,2.9169782176065
1249,SORBI_3006G152000,6,51247558,51303399,434,26,329,3.3044,4.759e-4,0.076064,5.2639e-5,4.759e-4,0.0140564609756098,1,1148,1.988263e-7,434,1216,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.44536859954856,1.47036028642332,0,0,2.91572888597187
1250,SORBI_3003G148000,3,15342841,15406766,1367,92,328,3.1042,9.5409e-4,0.29612,4.4934e-5,9.5409e-4,0.0213822099933906,1,1513,8.455399e-8,1367,923,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.56510047345936,1.35046324646208,0,0,2.91556371992144
1251,SORBI_3009G080500,9,11124188,11174616,1359,57,329,3.6445,1.3396e-4,0.0052224,2.6014e-4,1.3396e-4,0.00608889501340483,1,746,7.89726e-7,1359,1876,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.25706934044223,1.6575633470126,0,0,2.91463268745483
1252,SORBI_3004G311100,4,64760187,64815055,1061,82,328,3.2489,5.7923e-4,0.089991,7.9689e-5,5.7923e-4,0.0157600142101043,1,1245,1.616007e-7,1061,1125,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.47914965203789,1.43513282305352,0,0,2.91428247509141
1253,SORBI_3002G185800,2,56951063,57003576,1105,53,330,3.0239,0.0012478,0.36235,5.1169e-5,0.0012478,0.0253659486810552,1,1668,6.833033e-8,1105,840,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.60602288842339,1.30810612818355,0,0,2.91412901660694
1254,SORBI_3006G152200,6,51256049,51309910,410,26,329,3.3017,4.8057e-4,0.071804,4.9897e-5,4.8057e-4,0.0141328426366002,1,1152,1.988263e-7,410,1218,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.44465488618841,1.46884969539808,0,0,2.91350458158649
1255,SORBI_3009G239000,9,57662169,57713124,954,34,327,3.3735,3.7104e-4,0.028365,1.691e-4,3.7104e-4,0.0120279391204589,1,1046,3.075643e-7,954,1345,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.40157989014684,1.51077048995402,0,0,2.91235038010086
1256,SORBI_3009G228300,9,56909083,56962194,531,30,330,3.2678,5.4191e-4,0.41633,1.0121e-5,5.4191e-4,0.0151235261563786,1,1215,1.871686e-7,531,1163,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.46472245975682,1.44572589655094,0,0,2.91044835630776
1257,SORBI_3005G214900,5,70082199,70133336,953,77,327,2.8714,0.002043,0.067751,4.6053e-4,0.002043,0.0342263063241107,1,2024,8.512944e-7,953,1928,2,2.8372405608145,PWY-3101; PWY-7995,flavonol biosynthesis; tricin biosynthesis,PWY-3101,flavonol biosynthesis,3.1120989206042e-4,104,FALSE,FALSE,TRUE,1,1.24519514491846,1.22409166631751,0.594689968708561,0.477121254719662,2.90976817200615
1258,SORBI_3006G227700,6,57213748,57264708,850,53,328,3.2931,4.9547e-4,0.1026,5.0451e-5,4.9547e-4,0.0143339937702128,1,1172,1.974954e-7,850,1213,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.4464413736187,1.4613745628032,0,0,2.9078159364219
1259,SORBI_3006G277400,6,60808130,60859213,578,68,328,3.3204,4.4949e-4,0.027257,1.286e-4,4.4949e-4,0.01361739225,1,1119,2.349066e-7,578,1274,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.42513274648594,1.48147208795692,0,0,2.90660483444286
1260,SORBI_3004G257200,4,60286765,60343230,687,58,329,3.195,6.9913e-4,0.22589,3.9599e-5,6.9913e-4,0.0175816747555556,1,1348,1.236937e-7,687,1058,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.5058165067861,1.40061228228597,0,0,2.90642878907207
1261,SORBI_3006G280400,6,61030957,61087570,514,35,330,2.3887,0.008454,0.2698,0.0011114,0.008454,0.0734832689054089,1,3901,8.201731e-6,514,4085,1,6.28815903258617,PWY-6352,3-phosphoinositide biosynthesis,PWY-6352,3-phosphoinositide biosynthesis,5.15040009573115e-7,5,FALSE,FALSE,TRUE,1,0.919110113616837,0.93912622417348,1.91275330367132,0.301029995663981,2.90492198832517
1262,SORBI_3004G352200,4,68069407,68121848,476,46,330,3.1264,8.8473e-4,0.36658,1.0489e-5,8.8473e-4,0.020547551260274,1,1460,1.005323e-7,476,982,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.53819068669832,1.36594931870083,0,0,2.90414000539916
1263,SORBI_3009G228100,9,56891040,56949765,480,36,330,3.2549,5.6716e-4,0.20321,1.6473e-5,5.6716e-4,0.0155603702265372,1,1235,1.871686e-7,480,1161,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.4654699547467,1.43863521688959,0,0,2.90410517163628
1264,SORBI_3009G238600,9,57627425,57680397,898,41,329,3.6009,1.5856e-4,0.0031494,2.5558e-4,1.5856e-4,0.00681426169835234,1,789,7.524587e-7,898,1818,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.27070829559932,1.63322517127585,0,0,2.90393346687517
1265,SORBI_3003G338500,3,66125314,66180327,469,38,330,3.1195,9.0581e-4,0.15066,4.1185e-5,9.0581e-4,0.0208207984823848,1,1474,1.00067e-7,469,974,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.54174321760666,1.36180469096224,0,0,2.90354790856889
1266,SORBI_3007G149900,7,58129754,58182722,1090,60,327,3.2397,5.9832e-4,0.088712,6.782e-5,5.9832e-4,0.016152734522293,1,1256,1.734034e-7,1090,1146,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.4711175568539,1.43131253508409,0,0,2.90243009193799
1267,SORBI_3005G117700,5,51725923,51776613,1059,75,329,3.2757,5.2708e-4,0.11293,4.3354e-5,5.2708e-4,0.0148071488318144,1,1207,1.928305e-7,1059,1193,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.45366173081493,1.44859490438792,0,0,2.90225663520285
1268,SORBI_3004G218300,4,56745472,56803012,992,72,328,2.9541,0.0015677,0.86026,3.0832e-5,0.0015677,0.0290955509578544,1,1827,5.503458e-8,992,791,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,1.6321256909876,1.26856362713273,0,0,2.90068931812033
1269,SORBI_3008G024600,8,2175969,2231677,1207,57,329,3.2465,5.8411e-4,0.079114,7.6717e-5,5.8411e-4,0.0158701938141026,1,1248,1.867115e-7,1207,1159,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.46621873852168,1.43408758913887,0,0,2.90030632766054
1270,SORBI_3006G064500,6,42402590,42454021,1108,42,329,2.9039,0.001843,0.56773,5.0153e-5,0.001843,0.0321515516460905,1,1943,4.534749e-8,1108,746,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,1.6575633470126,1.24182937388549,0,0,2.89939272089809
1271,SORBI_3004G156000,4,49307166,49361496,1037,109,325,3.03,0.0012227,0.23295,6.2979e-5,0.0012227,0.0250812532365396,1,1653,7.572173e-8,1037,877,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.58730258111923,1.31202932091382,0,0,2.89933190203306
1272,SORBI_3010G005401,10,423862,476672,737,51,330,3.4587,2.7135e-4,0.010026,2.8876e-4,2.7135e-4,0.00968519557894737,1,950,4.864716e-7,737,1528,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.3461788202456,1.55257856919642,0,0,2.89875738944202
1273,SORBI_3003G156000,3,17117631,17169146,913,52,330,3.1017,9.62e-4,0.085771,6.5403e-4,9.62e-4,0.0214743225806452,1,1519,8.872241e-7,913,1968,1,2.88610007497003,PWY-6814,chitin degradation III (carnivorous plants),PWY-6814,chitin degradation III (carnivorous plants),0.0012998700129987,147,FALSE,TRUE,TRUE,2,1.23627708038995,1.34874440062249,0.444405973259166,0.301029995663981,2.89753346634121
1274,SORBI_3005G120500,5,52571092,52622606,786,43,328,3.8489,5.9326e-5,6.6151e-4,4.5915e-4,5.9326e-5,0.00352536682722513,1,570,1.876504e-6,786,2555,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.12291127001454,1.77442731881278,0,0,2.89733858882732
1275,SORBI_3002G107600,2,12966466,13039108,870,44,327,2.9665,0.0015059,0.25411,7.9783e-5,0.0015059,0.0284785595092025,1,1793,3.41753e-7,870,1383,1,2.11922983499607,PWY-3181,L-tryptophan degradation VI (via tryptamine),PWY-3181,L-tryptophan degradation VI (via tryptamine),0.0075992400759924,214,FALSE,FALSE,TRUE,1,1.38947999437596,1.27672188492309,0.281309534658151,0.301029995663981,2.89716564532732
1276,SORBI_3001G256900,1,30101144,30157976,1405,65,330,3.0886,0.0010055,0.36066,5.6245e-5,0.0010055,0.022108191461837,1,1541,9.156015e-8,1405,946,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.55441103808348,1.34249953576685,0,0,2.89691057385033
1277,SORBI_3002G325000,2,69529960,69581417,891,37,328,2.6683,0.0038121,0.061326,0.0013678,0.0038121,0.0486674272590361,1,2656,3.986805e-6,891,3291,2,3.65751068248611,PWY-1121; PWY-7186,suberin monomers biosynthesis; superpathway of scopolin and esculin biosynthesis,PWY-1121,suberin monomers biosynthesis,6.05246205408425e-6,22,FALSE,FALSE,TRUE,1,1.0129742921909,1.10607410378929,1.26930062718514,0.477121254719662,2.89683508598866
1278,SORBI_3004G352600,4,68081336,68135980,461,45,330,3.116,9.1668e-4,0.73858,1.1315e-5,9.1668e-4,0.0209050784966443,1,1483,1.005323e-7,461,986,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.53642525954406,1.35916102345689,0,0,2.89558628300095
1279,SORBI_3002G069100,2,6832559,6884481,1462,41,329,3.6618,1.2522e-4,0.001028,3.477e-4,1.2522e-4,0.00584038481430536,1,727,9.386976e-7,1462,2014,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.22624270826767,1.66876776362623,0,0,2.89501047189391
1280,SORBI_3009G238650,9,57632443,57683159,913,36,329,3.5915,1.6437e-4,0.0035373,2.6561e-4,1.6437e-4,0.00692355026086957,1,805,7.524587e-7,913,1819,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.27046947542179,1.6245062941174,0,0,2.89497576953919
1281,SORBI_3006G093600,6,46346335,46398767,1266,54,330,3.054,0.0011292,0.44928,2.8915e-5,0.0011292,0.0238115134328358,1,1608,8.236618e-8,1266,911,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.57078379751227,1.32401613007284,0,0,2.89479992758511
1282,SORBI_3010G062000,10,4843537,4897194,1205,74,327,3.4734,2.57e-4,0.01791,9.6779e-5,2.57e-4,0.0093102094017094,1,936,5.17208e-7,1205,1567,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.33523317801668,1.55902632574717,0,0,2.89425950376385
1283,SORBI_3004G078000,4,6384642,6440765,795,39,330,2.3166,0.010263,0.053804,0.0054158,0.010263,0.0812573653756416,1,4282,2.921511e-5,795,6063,3,4.51250840068305,PWY-6549; PWY-5690; GLYOXYLATE-BYPASS,L-glutamine biosynthesis III; TCA cycle II (plants and fungi); glyoxylate cycle,PWY-6549,L-glutamine biosynthesis III,4.41687148135105e-7,3,FALSE,FALSE,TRUE,1,0.747614606250305,0.898655511526852,2.13460205328768,0.602059991327962,2.89418914181939
1284,SORBI_3003G147900,3,15336476,15389089,950,79,328,3.0589,0.0011109,0.35538,5.6801e-5,0.0011109,0.0236398747804266,1,1593,8.455399e-8,950,922,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.56557125343164,1.32808639868414,0,0,2.89365765211578
1285,SORBI_3002G212300,2,60444224,60505551,1174,59,329,3.3594,3.9063e-4,0.026331,1.9976e-4,3.9063e-4,0.0124487613157895,1,1064,3.355854e-7,1174,1381,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.39010849590664,1.50336054652624,0,0,2.89346904243288
1286,SORBI_3001G155600,1,12570945,12624781,645,31,329,3.8431,6.0739e-5,2.6293e-4,3.3085e-4,6.0739e-5,0.00354481585542169,1,581,1.839241e-6,645,2531,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.12701002932702,1.76612604209494,0,0,2.89313607142196
1287,SORBI_3006G227400,6,57185254,57237214,551,59,328,3.267,5.4345e-4,0.088783,1.0901e-4,5.4345e-4,0.0151414936177194,1,1216,1.974954e-7,551,1210,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.44751680416882,1.44536859954856,0,0,2.89288540371738
1288,SORBI_3004G218400,4,56751303,56802316,891,77,328,2.9407,0.0016372,0.9024,2.9245e-5,0.0016372,0.0298751550295858,1,1858,5.503458e-8,891,792,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,1.63157699289578,1.26125646482765,0,0,2.89283345772343
1289,SORBI_3006G277200,6,60797255,60851353,612,58,328,3.3001,4.8324e-4,0.028256,1.4375e-4,4.8324e-4,0.0141622315643907,1,1157,2.349066e-7,612,1272,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.42581506317288,1.46696881553352,0,0,2.8927838787064
1290,SORBI_3007G047500,7,4736522,4788508,615,55,330,3.1418,8.3945e-4,0.29875,1.7017e-5,8.3945e-4,0.0197942076495132,1,1438,1.103076e-7,615,1026,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.51915481370947,1.37254328843841,0,0,2.89169810214788
1291,SORBI_3005G006300,5,464951,522517,695,75,328,3.0068,0.0013202,0.47721,3.8278e-5,0.0013202,0.0261519411214953,1,1711,7.156732e-8,695,863,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,1.59429137877006,1.29705216494417,0,0,2.89134354371423
1292,SORBI_3001G400601,1,68572002,68624366,453,43,329,3.3428,4.1471e-4,0.043315,6.1178e-5,4.1471e-4,0.0128772771794872,1,1092,3.082665e-7,453,1356,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.39804248495423,1.49207953611655,0,0,2.89012202107078
1293,SORBI_3009G259800,9,59285988,59337409,743,37,330,3.4563,2.7378e-4,0.012617,2.155e-4,2.7378e-4,0.0097411670933893,1,953,5.036486e-7,743,1554,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.33885116002038,1.55120927384694,0,0,2.89006043386732
1294,SORBI_3001G169800,1,14135148,14186985,907,59,330,3.1974,6.9325e-4,0.055237,8.9948e-5,6.9325e-4,0.0175031429635145,1,1343,1.450981e-7,907,1107,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.48615455360655,1.40222616181656,0,0,2.8883807154231
1295,SORBI_3009G238850,9,57651021,57703816,882,38,328,3.584,1.6919e-4,0.0094976,1.4654e-4,1.6919e-4,0.00702190271725826,1,817,7.524587e-7,882,1822,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.26975380184829,1.61808011795286,0,0,2.88783391980115
1296,SORBI_3003G208600,3,53958320,54008925,841,63,328,3.1391,8.474e-4,0.27124,3.525e-5,8.474e-4,0.0199400688410826,1,1441,1.138511e-7,841,1035,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.51536182469233,1.37163819367128,0,0,2.88700001836362
1297,SORBI_3007G092400,7,15688635,15742572,2087,82,330,3.1937,7.023e-4,0.11134,1.2511e-4,7.023e-4,0.0176266383419689,1,1351,1.447563e-7,2087,1104,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.48733310109209,1.39964682546324,0,0,2.88697992655533
1298,SORBI_3007G106500,7,38019938,38075518,1948,107,331,1.8085,0.035267,0.52465,0.0066787,0.035267,0.155385601662986,1,7695,4.392197e-6,1948,3431,3,3.94533633925438,PWY-6549; PWY-241; PWYQT-4429,"L-glutamine biosynthesis III; C4 photosynthetic carbon assimilation cycle, NADP-ME type; CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)",PWY-6549,L-glutamine biosynthesis III,4.41687148135105e-7,3,FALSE,FALSE,TRUE,1,0.994881456429098,0.644093550317774,2.13460205328768,0.602059991327962,2.8868940307891
1299,SORBI_3009G228700,9,56926133,56979426,658,43,330,3.2268,6.2602e-4,0.6077,6.3886e-6,6.2602e-4,0.016543673618677,1,1283,1.871686e-7,658,1167,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.4632313184399,1.42207551811034,0,0,2.88530683655024
1300,SORBI_3009G080600,9,11125667,11188920,1380,60,329,3.594,1.6279e-4,0.0086365,2.3548e-4,1.6279e-4,0.00689124009987516,1,801,7.89726e-7,1380,1877,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.25683790186393,1.62666965840103,0,0,2.88350756026496
1301,SORBI_3009G228000,9,56885167,56939234,419,36,330,3.2216,6.3744e-4,0.11732,3.4493e-5,6.3744e-4,0.0166391959353349,1,1299,1.871686e-7,419,1160,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.46584418525835,1.41669302341224,0,0,2.8825372086706
1302,SORBI_3003G148200,3,15371440,15423219,1295,70,328,3.0411,0.0011787,0.35021,6.5727e-5,0.0011787,0.0244402894865526,1,1634,8.455399e-8,1295,924,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.56463020326516,1.31705012228887,0,0,2.88168032555404
1303,SORBI_3006G186600,6,54135847,54190176,577,38,330,2.6953,0.0035165,0.19164,4.1967e-4,0.0035165,0.0464763894163424,1,2565,1.125588e-6,577,2145,1,4.65256088658829,PWY-5097,L-lysine biosynthesis VI,PWY-5097,L-lysine biosynthesis VI,2.22555900722435e-5,47,FALSE,FALSE,TRUE,1,1.19887487796453,1.12121480503744,0.939625450071624,0.301029995663981,2.88021140673697
1304,SORBI_3008G005000,8,433718,484464,547,50,328,2.989,0.0013995,0.44511,3.1316e-5,0.0013995,0.0272666283744974,1,1740,7.333205e-8,547,872,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,1.5897856895527,1.28975292620267,0,0,2.87953861575538
1305,SORBI_3009G238800,9,57642737,57696319,990,36,328,3.5683,1.7964e-4,0.011487,1.1238e-4,1.7964e-4,0.00730363683453237,1,834,7.524587e-7,990,1821,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.26999222869035,1.60913612384753,0,0,2.87912835253788
1306,SORBI_3004G352301,4,68072411,68123526,403,48,330,3.0879,0.001008,0.37875,1.2909e-5,0.001008,0.022108191461837,1,1546,1.005323e-7,403,983,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.53774865665314,1.34109268490297,0,0,2.8788413415561
1307,SORBI_3010G193700,10,53587046,53641000,1073,64,329,2.9679,0.0014992,0.66335,7.5049e-5,0.0014992,0.0284050536312849,1,1789,6.988111e-8,1073,853,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,1.59935314331775,1.2776918339179,0,0,2.87704497723565
1308,SORBI_3009G083100,9,12185533,12237925,885,70,327,3.2322,6.1415e-4,0.29714,3.4114e-5,6.1415e-4,0.0163458384615385,1,1274,1.947668e-7,885,1199,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.45148299138642,1.42513274648594,0,0,2.87661573787236
1309,SORBI_3006G213601,6,56190640,56243691,572,43,330,3.3017,4.8057e-4,0.032697,8.7938e-5,4.8057e-4,0.0141328426366002,1,1153,2.902834e-7,572,1325,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.40808629621244,1.46847286719057,0,0,2.87655916340302
1310,SORBI_3007G119000,7,51207274,51259692,813,69,331,3.1886,7.1472e-4,0.30688,8.1176e-5,7.1472e-4,0.017832763620309,1,1359,1.626688e-7,813,1126,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.47876378396994,1.39708271775278,0,0,2.87584650172272
1311,SORBI_3001G367600,1,65623794,65675665,395,57,327,3.2761,5.2621e-4,0.045959,9.292e-5,5.2621e-4,0.0147963715422886,1,1205,2.346571e-7,395,1270,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.42649845352931,1.44931512757438,0,0,2.8758135811037
1312,SORBI_3006G277300,6,60804394,60858096,600,62,328,3.2764,5.2572e-4,0.032059,1.4093e-4,5.2572e-4,0.0147963715422886,1,1203,2.349066e-7,600,1273,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.42547377083162,1.45003654714543,0,0,2.87551031797704
1313,SORBI_3004G343900,4,67385523,67438514,1288,53,329,2.934,0.001673,0.3469,8.0653e-5,0.001673,0.0303701685224839,1,1867,6.262164e-8,1288,821,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,1.61595901736583,1.25915785653619,0,0,2.87511687390202
1314,SORBI_3003G147800,3,15334800,15387519,890,75,328,3.0244,0.0012458,0.38245,5.7338e-5,0.0012458,0.0253556941176471,1,1666,8.455399e-8,890,921,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.56604254428842,1.3086271774145,0,0,2.87466972170292
1315,SORBI_3004G238500,4,58610408,58662978,745,30,328,2.5553,0.0053051,0.89017,1.3788e-4,0.0053051,0.057651202690583,1,3120,9.999011e-7,745,2052,2,3.61724866518981,PWY-5863; PWY-5063,superpathway of phylloquinol biosynthesis; phytyl diphosphate biosynthesis,PWY-5863,superpathway of phylloquinol biosynthesis,2.15865049951796e-5,46,FALSE,FALSE,TRUE,1,1.21812481804549,1.03614758046683,0.948965476325768,0.477121254719662,2.8718915130911
1316,SORBI_3007G212000,7,64045213,64099568,860,45,330,3.3292,4.3551e-4,0.047084,6.2985e-5,4.3551e-4,0.0133399034146341,1,1107,3.437927e-7,860,1397,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.38510576837109,1.48615455360655,0,0,2.87126032197764
1317,SORBI_3004G136366,4,35106888,35157724,2091,63,330,2.9304,0.0016927,0.6282,1.2099e-4,0.0016927,0.0305623384451544,1,1878,6.57423e-8,2091,826,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,1.61332212716489,1.25660658655518,0,0,2.86992871372007
1318,SORBI_3006G040900,6,26316712,26367308,624,58,328,3.2842,5.1135e-4,0.099922,9.5696e-5,5.1135e-4,0.0146072921651222,1,1187,2.744189e-7,624,1309,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.41336252793452,1.45585145553068,0,0,2.8692139834652
1319,SORBI_3009G129100,9,48227938,48286639,638,52,330,3.2232,6.3385e-4,0.36186,2.3838e-5,6.3385e-4,0.0166015662702703,1,1294,1.964313e-7,638,1204,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.44967568756347,1.41836789815259,0,0,2.86804358571606
1320,SORBI_3006G227100,6,57173346,57225678,753,50,328,3.2224,6.3557e-4,0.2044,4.1648e-5,6.3557e-4,0.0166287866975309,1,1296,1.974954e-7,753,1207,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1.44859490438792,1.4176971729507,0,0,2.86629207733862
